Code Isbn/Ean;IdAuteur;Titre;Prix vente;Stock initial;Vendu librairie;Vendu médiat.;Offert;Stock final;A facturer;Total vendu;Prix total;Nom auteur;Pourcentage;Part auteur;Part librairie
9782954009216;11;En vrac T1;18;10;5;0;0;5;0;5;90;Ivars Eric;90;81;9;
9782954009230;11;Suicides de ménage - L'intégrale;25;10;0;0;0;10;0;0;0;Ivars Eric;90;0;0;
9782954009247;11;Carnets de chez moi;22;10;1;0;0;9;0;1;22;Ivars Eric;90;19,8;2,2;
9782954009254;11;Tout fout le camp;15;10;6;0;0;4;0;6;90;Ivars Eric;90;81;9;
9782954009278;11;Oups;15;10;6;0;0;4;0;6;90;Ivars Eric;90;81;9;
9782954009285;11;En vrac T2;18;10;1;0;0;9;0;1;18;Ivars Eric;90;16,2;1,8;
9782954009292;11;Tous à ses trousses;18;10;2;0;0;8;0;2;36;Ivars Eric;90;32,4;3,6;
9782956281627;12;Hode;9,45;32;6;0;0;26;0;6;56,7;Huet Romain;90;51,03;5,67;
9782956281634;12;Vali;9,45;30;6;0;0;24;0;6;56,7;Huet Romain;90;51,03;5,67;
9782956281641;12;Magni;9,45;34;4;0;0;30;0;4;37,8;Huet Romain;90;34,02;3,78;
9782956281658;12;Lifth & Lif;9,45;34;4;0;0;30;0;4;37,8;Huet Romain;90;34,02;3,78;
9782956281665;12;Résurrection;10,95;20;4;0;0;16;0;4;43,8;Huet Romain;90;39,42;4,38;
9782956281689;12;Tombés au combat;22;20;2;0;0;18;0;2;44;Huet Romain;90;39,6;4,4;
9782956281696;12;My magical girlfriend;15;30;7;0;0;23;0;7;105;Huet Romain;90;94,5;10,5;
9782956508458;2;Elias: Perdu dans les couloirs du temps;15;4;3;0;0;1;0;3;45;Aimès Sylvain;75;33,75;11,25;
9782956772835;7;Ceci n'est pas un déchet;15;10;1;0;0;9;0;1;15;Grenouiller Laureline;90;13,5;1,5;
9782956903604;5;Bande de microbes;11;10;5;0;0;5;0;5;55;Brocard Philippe;90;49,5;5,5;
9782957706303;5;Une année pour mieux manger T1;15;5;2;0;0;3;0;2;30;Brocard Philippe;90;27;3;
9782957706310;5;Une année pour mieux manger T2;15;8;3;0;0;5;0;3;45;Brocard Philippe;90;40,5;4,5;
9782957788606;7;Les oreilles de Vichy;12;20;4;0;0;16;0;4;48;Grenouiller Laureline;90;43,2;4,8;
9782957788613;7;L'âne et le renne du Père Noël;15;15;4;0;0;11;0;4;60;Grenouiller Laureline;90;54;6;
9782957788620;7;Pérou;10;10;0;0;0;10;0;0;0;Grenouiller Laureline;90;0;0;
9782957788637;7;Le souffle de la fugue;25;8;1;0;0;7;0;1;25;Grenouiller Laureline;90;22,5;2,5;
9782957788644;7;Le voleur d'oeufs;12;20;4;0;0;16;0;4;48;Grenouiller Laureline;90;43,2;4,8;
9782957788651;7;La poule qui voulait se marier;15;20;3;0;0;17;0;3;45;Grenouiller Laureline;90;40,5;4,5;
9782957788699;7;Coco la coccinelle;10;20;7;0;0;13;0;7;70;Grenouiller Laureline;90;63;7;
9782957957910;2;Elias: Le jumeau maléfique;15;5;1;0;0;4;0;1;15;Aimès Sylvain;75;11,25;3,75;
9782957957989;2;Elias&Arthur - L'intégrale T1;20;9;6;0;0;3;0;6;120;Aimès Sylvain;75;90;30;
9782958295882;12;Les cris du coeur;9,45;30;4;0;0;26;0;4;37,8;Huet Romain;90;34,02;3,78;
9782970131267;11;Sans tabous ni trompettes;18;10;0;0;0;10;0;0;0;Ivars Eric;90;0;0;
9791041106714;9;Merit & Ouati: La main d'Isis;15,9;7;7;0;0;0;0;7;111,3;Janer Nathalie;90;100,17;11,13;
9791095316091;9;5 oiseaux dans le nid;8,9;4;4;0;0;0;0;4;35,6;Janer Nathalie;90;32,04;3,56;
9791095316336;9;Ouistiti;11,9;5;2;0;0;3;0;2;23,8;Janer Nathalie;90;21,42;2,38;
9791095316404;9;Loup y est tu ?;11,9;7;4;0;0;3;0;4;47,6;Janer Nathalie;90;42,84;4,76;
9791095316527;9;Bonbons et chocolats;11,9;3;1;0;0;2;0;1;11,9;Janer Nathalie;90;10,71;1,19;
9791095316787;9;4 pattes pour un squelette;6,5;5;2;0;0;3;0;2;13;Janer Nathalie;90;11,7;1,3;
9791095316879;9;Antoinette & Quimangetout;13,9;5;4;0;0;1;0;4;55,6;Janer Nathalie;90;50,04;5,56;
9791095316886;9;Bon débarras;6,9;5;1;0;0;4;0;1;6,9;Janer Nathalie;90;6,21;0,69;
9791095316992;9;Antoinette & Quimangetout: Mission Londres;13,9;5;2;0;0;3;0;2;27,8;Janer Nathalie;90;25,02;2,78;
9791096106868;9;Lili à Paris;10,9;10;4;0;0;6;0;4;43,6;Janer Nathalie;90;39,24;4,36;
